company_name,secteur,ticker,siege_social
SOCIETE METALLURGIQUE D'IMITER,MASI Mines,SMI,"Twin Center, Tour A, angle Bd Zerktouni et Al Massira Al Khadra - BP: 5199 - Casablanca"
SOCIETE NATIONALE D'ELECTROLYSE ET DE PETROCHIMIE,MASI Chimie,SNP,233. boulevard Mohammed V. Casablanca
SOCIETE D'EXPLOITATION DES PORTS - MARSA MAROC,MASI Services de transport,MSA,"175, BD Zerktouni"
SOCIETE NATIONALE DE SIDERURGIE SA,MASI Bâtiment et Matériaux de Construction,SID,Siège Social: N°2. El Aaroui- BP 551 à NADOR &  Direction générale:  Twin Center -Tour A - 18e Et. Bd Zerktouni à Casablanca
SOCIETE DE THERAPEUTIQUE MAROCAINE,MASI Industrie Pharmaceutique,SOT,Centre de Bouskoura. BP n° 1 -- Casablanca.
STOKVIS NORD AFRIQUE,MASI Distributeurs,SNA,Lot 17 11. Zone Industrielle Ouled Salah – Bouskoura
STROC INDUSTRIE,MASI Ingénieries et Biens d'Equipement Industriels,STR,"4, Rue des Tabors, Oasis, Casablanca"
TAQA MOROCCO,MASI Electricité,TQM,"Centrale thermique de Jorf Lasfar – Km 23 Route Régionale 301, Commune de Moulay Abdellah,"
TOTALENERGIES MARKETING MAROC,MASI Pétrole et Gaz,TMA,"146, boulevard Zerktouni, 20000"
UNIMER,MASI Agroalimentaire / Production,UMR,Km 11. Rue L. Route des Zanatas Aïn Sebaâ Sidi Bernoussi Q.I - Casablanca 20 252
WAFA ASSURANCE,MASI Assurances,WAA,1. Boulevard Abdelmoumen - Casablanca
ZELLIDJA S.A,MASI Sociétés de Portefeuilles - Holdings,ZDJ,"Boulevard Sidi Mohamed Ben Abdellah, Tour Marina 2, 6ème étage, Marina Shopping Center"
DIAC SALAF,MASI Sociétés de financement et Autres Activités Financières,DIS,32. Boulevard de la Résistance. Casablanca
EQDOM,MASI Sociétés de financement et Autres Activités Financières,EQD,127. Boulevard Zerktouni - 20 100 - Casablanca
MAGHREBAIL,MASI Sociétés de financement et Autres Activités Financières,MAB,45. Boulevard My Youssef. Casablanca - 20 000
MAROC LEASING,MASI Sociétés de financement et Autres Activités Financières,MLE,57. Angle Bd Abdelmoumen  et Rue Pinel - Casablanca
SALAFIN,MASI Sociétés de financement et Autres Activités Financières,SLF,Zenith Millenium. immeuble 8. Sidi Maarouf – Casablanca – Maroc
IMMORENTE INVEST,MASI Sociétés de placement immobilier,IMO,"5-7, rue Ibnou Toufail, Casablanca, Maroc"
MUTANDIS SCA,MASI Agroalimentaire / Production,MUT,"22, boulevard Abdelkrim Al Khattabi – Casablanca"
ARADEI CAPITAL,MASI Sociétés de placement immobilier,ARD,"Route secondaire 1029, Municipalité de Sidi Maârouf – 20180 - Casablanca"
AKDITAL,MASI Santé,AKT,"246 route de l’Oasis, Casablanca"
AUTO HALL,MASI Distributeurs,ATH,64. Avenue Lalla Yacout Casablanca
AFMA SA,MASI Assurances,AFM,22 Boulevard Moulay Youssef
DISTY TECHNOLOGIES,"MASI Matériels, Logiciels et Services Informatiques",DYT,"12, rue Mohamed Abdou, Casablanca"
COMPAGNIE MINIERE DE TOUISSIT,MASI Mines,,"88-90 Rue Larbi DOGHMI, 3ème étage - Casablanca"
SANLAM MAROC,MASI Assurances,,216. Boulevard Zerktouni -20 000- Casablanca
TRAVAUX GENERAUX DE CONSTRUCTION DE CASABLANCA,MASI Bâtiment et Matériaux de Construction,TGC,4 Rue Imam Mouslim Casablanca Oasis
CFG BANK,MASI Banques,CFG,"5-7, rue Ibnou Toufail – Palmier – 20100 Casablanca Maroc"
VICENNE,MASI Santé,VCN,"Angle Rif, Route des Zaërs Km 3,5  Souissi –Rabat"
CASH PLUS S.A,MASI Sociétés de financement et Autres Activités Financières,CAP,"1 Rue des Pléiades, 3ème étage, Q. des Hôpitaux – Casablanca"
SOCIETE GENERALE DES TRAVAUX DU MAROC,MASI Bâtiment et Matériaux de Construction,GTM,"2, Boulevard Zerktouni – Casablanca"
